QuizID,Question,Answer 1,Answer 2,Answer 3,Answer 4
1,Print 'Hello World!' to the console,System.out.print('Hello World'),"$System.out.print(""Hello World!"")","$System.out.print(""Hello World"");",$System.out.println('Hello World');
1,Declare and initialise a string variable,"string hello = ""hello"";","$String hello = ""hello"";","String hello = ""hello""",String hello = 'hello';
1,Declare an integer variable,int n,integer n;,Int n;,int n;
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
1,,,,,
2,,,,,
2,,,,,
2,,,,,
2,,,,,
2,,,,,
2,,,,,
2,,,,,
2,,,,,
2,,,,,
2,,,,,
